size,mean,sigma
112,1073.38,367.446
35,1057.81,503.348
81,1038.97,559.235
82,1015.91,329.203
93,1006.97,534
226,993.226,372.729
143,1006.39,383.104
51,1018.08,262.43
130,1030.65,395.186
90,1002.08,2434.26
41,1050.5,534.373
20,1027.35,112.411
30,1016.93,231.896
29,779.096,5526.33
84,1037.14,10156.2
66,1007.7,4260.25
56,915.604,6209.96
498,999.295,3295.04
257,969.299,1382.05
23,860.735,2567.12
33,1046.64,928.825
102,970.972,1239.31
50,1038.13,1062.83
40,975.196,512.973
60,924.48,1671.05
58,909.888,437.35
21,841.52,2057.68
85,1010.96,4158.63
39,983.264,5736.54
280,1015.24,2227.04
26,850.362,5506.37
40,1044.34,1203.22
144,1076.03,2385.06
40,901.368,8879.09
42,1086.68,1756.03
78,1042.14,1916.51
21,911.831,2796.24
368,1050.04,1490.56
67,1002.22,8350.37
64,1056.15,1342.58
33,1016.34,485.885
54,792.892,5765.58
23,942.936,1883.42
35,989.063,546.455
40,921.096,2506.54
31,1026.72,414.078
197,1009.72,1563.97
35,943.975,3545.4
46,1019.19,943.181
161,981.902,1800.09
35,975,200.347
30,950.783,1393.93
23,840.694,1629.8
31,1007.06,416.492
45,939.758,6673.99
126,971.975,1405.54
98,958.866,268.736
36,987.848,441.002
72,1004.12,484.791
176,987.306,373.622
37,963.894,187.711
45,782.454,3829.93
20,940.626,1293.95
38,876.028,2277
45,914.063,285.747
43,926.964,168.23
24,914.064,339.667
20,829.688,1918.51
63,942.09,223.736
31,924.144,285.624
123,969.63,1187.34
80,946.29,216.906
28,793.328,2218.35
39,955.329,1059.93
308,924.895,451.103
73,938.572,961.833
124,956.465,498.374
72,925.782,226.93
61,913.423,181.673
75,901.876,166.984
28,886.163,87.8621
92,895.212,122.263
107,905.886,264.144
79,921.382,542.046
20,937.109,80.1218
93,959.091,222.123
46,936.312,203.366
44,908.026,121.673
49,893.974,223.771
174,871.634,123.704
35,889.733,171.519
21,860.864,138.056
96,874.594,220.196
35,888.617,126.908
63,901.415,132.747
22,891.692,54.0579
110,917.473,130.519
100,937.267,487.612
129,953.793,263.247
85,851.959,5018.04
38,705.813,2430.48
58,920.988,8940.61
33,967.568,1575.94
42,944.011,675.672
41,817.647,1585.76
88,925.516,2928.23
24,843.751,2531.66
23,946.672,242.243
243,897.121,588.172
131,877.029,729.232
25,852.189,442.109
33,926.374,408.345
58,881.197,785.456
45,746.233,3624.67
21,1027.9,534.524
37,966.64,883.828
22,943.538,505.362
37,1004.68,2538.36
23,974.526,189.853
136,937.903,464.162
30,903.648,359.192
35,935.046,900.353
28,775.113,1077.61
21,870.165,5208.94
61,955.688,491.808
36,917.32,301.281
39,787.538,6995.92
180,939.975,3549.93
193,968.508,525.734
566,937.321,1406.58
69,924.694,732.611
122,938.014,1744.01
102,922.106,364.344
222,904.069,916.529
21,750.076,882.923
32,673.896,3477.35
22,1004.62,387.439
37,941.513,551.405
70,914.845,350.56
36,903.864,149.351
144,934.246,306.886
37,792.02,2418.85
72,909.289,8970.51
22,995.03,427.517
38,951.071,345.365
73,966.076,349.61
24,809.246,3162.72
45,1012.85,657.921
44,968.574,342.055
25,759.064,2531.28
43,928.599,7921.78
30,1012.5,958.004
47,811.248,6758.84
600,941.349,2625.86
518,905.452,2339.12
154,930.044,2351.56
35,975.223,288.941
60,942.058,426.822
25,963.751,192.679
21,926.34,357.48
26,767.43,782.793
118,937.369,2167
38,893.711,3060.18
191,944.332,2299.07
293,963.445,1907.55
348,993.468,975.108
22,861.507,3500.35
701,975.304,3271.76
49,768.496,4210.65
28,1039.62,6672.81
55,973.297,2537.88
36,930.991,2655.87
81,1001.93,740.864
37,917.442,2327.97
186,1001.6,1837.73
55,948.723,1986.49
51,993.261,195.334
24,981.121,233.091
23,878.059,3510.96
47,1016.79,543.953
37,938.978,952.26
238,964.615,2606.02
36,761.72,5613.48
44,1036.58,598.327
86,975.292,2017.58
26,881.611,3856.01
35,985.492,467.242
26,892.128,4580.15
48,961.102,2679.07
90,954.341,371.596
30,981.772,325.55
25,950.001,122.091
38,880.347,4154.02
36,992.623,257.908
66,921.876,4420.75
28,976.564,366.214
35,786.983,4177.61
41,1063.26,1311.66
105,987.427,1290.55
891,995.443,5202.24
94,882.315,5759.34
20,994.534,148.397
146,934.451,1190.69
51,915.902,1544.45
102,957.721,960.042
97,696.106,3607.07
23,751.752,1049.36
39,973.76,1251.21
53,1015.63,1734.83
33,988.164,935.067
80,1028.25,1106.67
39,1000.2,1296.1
28,1044.37,199.168
60,1022.14,250.702
94,1009.82,529.02
21,1028.65,136.269
22,883.169,7199.06
38,1068.26,299.164
22,961.649,6155.09
216,1037.47,3172.96
72,1015.95,1969.34
46,1001.36,190.713
40,823.576,3804.41
98,987.485,1031.59
22,971.237,159.206
47,929.019,1507.71
101,970.144,1284.64
42,940.291,2360.57
41,990.855,469.665
120,948.113,6142.31
27,1009.26,328.828
26,916.167,1858.23
29,801.772,8781.73
27,1092.3,911.05
157,1012.34,2547.93
50,1050.31,546
29,814.387,4706.96
32,1091.31,986.215
29,896.552,5870.91
266,1038.42,1827.69
36,1082.9,391.563
46,1064.88,455.385
39,819.568,6917.12
71,1099.8,936.817
83,996.518,7102.86
41,1076.98,706.665
59,1055.35,562.56
38,809.624,11535.3
29,1084.86,2828.21
126,1033.05,2321.42
21,1029.02,159.565
28,904.02,5017.68
276,1050.67,2519.26
26,1094.95,301.251
618,1071.35,822.451
263,1063.62,543.368
56,1044.78,309.595
34,1084.56,1388.88
103,1052.87,370.042
33,1036.22,243.442
427,1053.43,419.777
34,1037.23,292.457
72,1051.87,440.684
20,1030.47,352.759
285,1019.24,9020.06
47,1097.24,636.407
43,1071.4,536.496
20,1032.42,1267.38
30,1097.4,318.806
37,1061.02,321.59
32,1079.59,1726.44
455,1054.02,849.211
30,846.616,4287.21
22,1150.92,1809.99
71,1068,448.859
356,1090.77,898.805
59,1058.53,339.636
157,1073.65,431.314
46,1056.73,394.524
34,875,13579.7
40,1140.63,1877.97
42,1095.98,483.221
35,951.118,5505.11
295,1122.51,911.107
23,1001.36,11539.2
22,866.479,10666.4
20,1208.99,1759.58
29,1168.37,599.823
291,1122.93,3123.02
196,1119.36,662.335
32,904.22,8854.06
22,1144.18,2933.92
42,1104.54,815.672
22,1083.81,535.824
271,1106.84,2520.4
259,1101.68,543.15
42,883.015,15793
27,1017.36,1555.59
171,1040.53,788.423
39,987.782,1631.21
27,1074.36,485.293
23,1046.2,360.177
38,963.201,6667.43
22,1113.99,509.563
113,1057.94,744.113
22,1036.93,483.526
193,1079.22,507.744
24,1109.38,323.782
40,1068.17,266.033
147,1104.06,471.566
35,1092.41,285.393
34,1062.27,2517.13
24,1118.49,348.505
25,1089.69,560.08
201,1119.79,903.517
38,937.913,6928.09
25,1193.13,3898.66
141,1102.23,1260.36
384,1113.4,911.856
72,1093.86,628.395
47,1030.59,4335.64
234,1098.36,1528.44
433,1115.11,994.704
39,1095.15,497.512
123,1140.93,1206.13
60,1051.82,496.485
33,799.717,7090.69
41,1181.97,1865.37
34,1125.23,634.351
31,1007.31,3018.95
231,1062.13,1315.3
33,980.352,1335.63
29,865.689,10437.1
31,1173.89,829.93
22,1129.62,259.603
44,1105.47,1369.76
93,1030.74,2826.44
26,1048.98,17214.5
29,1154.9,963.815
100,1115.47,4729.43
25,842.814,3460.24
26,1093.94,5161.52
94,1046.49,2487.38
63,1113.1,783.269
28,1064.17,1037
30,1097.14,865.825
189,1112.03,796.2
21,1082.96,619.308
28,826.07,3668.8
27,1100.41,1519.84
26,1047.78,553.369
35,1008.04,655.18
107,1049.65,1034.45
46,1083.22,399.329
94,1056.93,508.778
21,1079.24,782.938
172,1076.22,1836.64
55,1038.07,1449.14
32,817.628,6456.36
73,1095.25,886.139
33,1070.55,978.428
101,1041.31,1268.74
72,1016.39,708.622
52,874.287,10115.8
35,1093.97,2507.78
114,1053.25,1064.66
20,1012.89,740.594
28,1044.64,333.891
311,1060.52,1760.11
29,884.68,13071.8
25,1110.63,603.626
88,1084.07,917.623
28,1065.01,262.452
103,1093.6,775.469
97,1059.4,2567.6
47,777.8,11932.9
147,718.116,2187.17
89,769.314,1591.93
32,677.54,697.465
30,762.158,3001.07
32,670.609,3217.53
31,667.437,324.637
84,728.435,3417.26
23,771.813,713.694
50,702.574,2274.27
22,659.802,161.155
50,616.528,883.954
33,627.425,5282.1
26,707.934,630.237
25,621.292,410.329
26,644.985,1458.42
24,567.708,73.0101
23,555.334,633.823
80,516.478,397.148
56,619.225,988.87
36,649.69,2134.47
126,732.835,1893.06
41,693.98,210.279
23,666.781,203.149
47,722.446,1135.68
47,570.829,2215.29
44,655.304,1564.33
33,696.231,854.077
33,613.874,259.511
80,681.322,6284.39
52,561.244,3709.15
39,753.523,1277.3
37,854.942,642.71
52,926.233,283.414
26,854.591,689.206
83,906.157,426.506
33,934.187,274.778
38,903.578,188.963
132,925.486,789.642
25,916.876,223.19
34,877.299,738.099
21,924.109,147.354
65,934.016,299.505
49,897.164,181.446
23,916.781,253.072
25,865.935,794.062
34,948.071,565.527
45,892.883,362.402
27,914.932,161.199
60,947.007,372.609
25,911.117,715.137
36,854.386,394.648
25,810.313,465.548
45,887.854,649.687
29,922.954,264.725
32,908.119,327.161
22,863.977,1036.05
32,792.242,5969.62
21,829.568,2477.38
20,778.882,2871.8
35,740.09,2418.37
39,658.655,353.83
44,627.045,340.839
50,664.918,738.517
36,532.987,1744.26
83,448.329,1255.04
64,442.505,111.158
29,470.04,1249.03
22,510.814,2699.74
30,640.423,2365.99
40,596.208,420.197
26,627.927,406.869
26,683.122,2151.24
22,884.601,3279.74
60,661.484,2904.32
106,704.57,2598.32
30,659.368,448.97
41,688.582,946.854
31,722.747,1500.22
23,759.508,1027.8
99,690.409,465.541
23,672.217,185.777
100,710.746,453.669
22,683.595,97.3405
56,700.939,700.001
42,725.492,1032.3
48,819.337,918.403
22,921.521,479.418
67,893.891,1638.97
73,748.044,4831.99
57,855.96,2166.39
33,830.257,359.61
20,785.72,749.397
186,839.446,977.828
30,741.514,3312.28
46,898.099,1722.37
64,861.086,1060.75
75,879.376,272.582
42,857.144,578.473
41,889.674,275.242
28,846.542,321.977
26,771.938,494.161
20,714.366,1005.13
40,771.855,2810.06
42,881.14,1853.48
21,676.712,1895.03
37,786.53,936.045
28,725.801,406.954
102,679.315,1691.66
108,749.096,596.137
88,803.623,868.777
48,775.794,379.505
58,807.248,199.987
125,763.348,1227.76
77,740.607,544.652
25,779.688,172.895
29,834.323,524.808
63,857.99,1298.14
52,786.446,2791.06
30,693.238,425.757
25,737.814,280.152
20,699.838,572.316
28,654.526,1384.09
33,706.289,1651.24
25,666.251,104.387
78,639.219,1015.43
25,685.918,377.092
23,721.664,1487.06
51,621.531,2248.07
21,661.46,172.926
54,678.852,316.761
29,704.427,654.69
23,649.954,213.535
75,664.16,643.072
23,672.217,108.096
38,679.713,518.559
38,605.081,661.643
53,623.146,757.41
35,665.18,305.667
21,696.802,138.07
88,718.461,908.479
37,675.785,3152.7
56,651.122,2599.23
61,664.861,737.674
66,720.475,1024.75
107,776.144,3287.23
40,749.416,430.011
48,709.051,527.942
64,674.439,1308.02
43,722.514,492.268
63,706.91,391.29
31,677.501,487.97
49,654.306,262.407
21,716.601,131.665
38,682.236,1211.79
110,740.627,736.655
21,704.626,289.705
37,675.219,268.236
28,661.245,340.11
49,734.345,1522.52
22,672.586,231.992
59,729.874,457.144
63,801.588,1914.8
47,749.835,1198.11
41,822.533,2094.98
43,734.844,1127.5
173,721.98,890.244
32,819.581,414.881
92,795.108,875.549
27,765.337,438.926
34,721.958,455.566
58,743.029,402.311
38,722.594,448.836
41,782.29,624.626
70,808.246,2547.59
139,799.723,1588.27
25,865.626,2843.39
25,754.064,850.012
35,813.617,420.59
52,852.162,1723.59
37,792.761,998.644
91,760.496,2971.24
51,817.113,935.849
54,737.515,327.809
20,696.486,348.716
34,765.166,317.91
79,835.508,1887.06
55,717.076,675.92
24,761.069,413.566
42,710.99,2318.61
39,715.513,355.901
33,752.963,2338.69
32,784.424,570.408
67,703.703,762.474
21,752.452,395.497
48,902.868,3756.55
101,813.097,1014.05
33,732.719,365.262
24,821.29,495.228
27,900.464,1622.56
73,810.002,695.368
32,781.812,355.553
40,804.884,655.739
115,832.277,1751.98
27,765.915,166.602
82,791.208,716.481
44,848.901,394.443
21,816.967,565.012
72,889.758,594.111
57,842.791,3361.39
38,817.436,648.035
68,760.227,2629.47
21,706.103,88.3687
38,664.777,2720.94
35,727.297,793.078
22,832.779,2379.14
68,962.892,1478.28
51,845.622,2751.98
56,818.264,480.226
35,792.189,625.433
26,832.333,523.564
41,865.665,177.679
27,812.114,392.963
22,867.647,1410.51
29,816.019,1550.08
57,784.325,634.044
29,873.654,811.147
23,810.803,776.593
21,857.516,1342.15
22,796.62,395.251
40,833.175,280.049
34,777.754,2332.83
43,824.492,434.092
25,798.751,357.482
128,912.294,949.866
45,738.896,2002.27
59,690.831,809.235
27,711.807,231.612
198,787.087,1578.06
40,847.658,456.949
22,799.008,297.48
55,832.265,740.753
56,772.342,2418.63
36,809.867,1154.14
35,787.503,178.798
41,835.368,2033.63
38,951.759,5474.37
33,690.816,2048.73
25,807.188,171.481
20,880.86,538.871
92,926.717,856.961
50,883.752,1558.64
32,807.132,2313.16
32,931.642,574.878
40,952.54,461.32
420,873.528,6813.54
54,991.755,1958.69
28,856.622,2446.59
21,900.146,364.212
96,833.093,829.888
35,795.9,1107.37
31,830.647,502.021
23,874.32,1525.39
21,817.338,1315.13
63,867.933,521.187
36,914.664,1267.85
45,866.474,1166.44
39,838.944,2475.53
33,875.646,1792.05
32,815.675,1397.38
24,779.298,240.146
41,853.468,1790.69
92,773.119,1562.6
75,753.647,704.925
60,789.454,762.263
43,844.842,990.52
36,779.732,1189.12
41,799.057,1509.35
27,848.533,1901.85
105,772.01,1815.6
262,847.487,1829.74
24,787.436,307.717
76,828.158,1384.15
40,742.064,2205.83
76,621.962,5399.73
